RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
4154813,2017,1967,2025,PRIVATE,17,Don Valley North,110 PARKWAY FOREST DR,17,216,2025-07-19,92,92,0,45,3,3,2,3,3,2,3,3,3,2,N/A,N/A,3,3,3,2,3,N/A,3,3,3,N/A,N/A,2,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,N1730,43.774127291,-79.342941947,317427.784,4848030.635
4155768,2017,2006,2025,PRIVATE,17,Don Valley North,121 PARKWAY FOREST DR,14,232,2025-07-19,92,92,0,46,3,2,2,N/A,3,3,3,3,3,2,3,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3,1,1,3,N1730,43.775367468,-79.340704255,317568.764,4848085.643
4155768,2017,2006,2023,PRIVATE,17,Don Valley North,121 PARKWAY FOREST DR,14,232,2023-09-25,90,90,0,47,3,2,1,3,3,3,3,3,3,2,3,N/A,3,3,3,3,3,3,3,2,N/A,N/A,2,3,3,2,3,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,1,3,3,3,3,N1730,43.775367468,-79.340704255,317568.764,4848085.643
4451371,2018,2017,2024,PRIVATE,17,Don Valley North,123 PARKWAY FOREST DR,20,188,2024-09-23,95,95,0,44,3,3,N/A,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,2,3,1,3,3,N1730,,,317528.543,4848086.948
4232789,2017,1970,2024,PRIVATE,17,Don Valley North,125 PARKWAY FOREST DR,18,287,2024-08-27,95,95,0,46,3,3,3,3,3,3,3,1,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1730,43.775336545,-79.342323333,317477.331,4848165.074
4153731,2017,2013,2023,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2023-07-30,99,99,0,44,3,3,N/A,3,3,3,3,3,N/A,2,N/A,N/A,3,3,3,3,N/A,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,N1730,43.774618023,-79.343572185,317376.948,4848085.058
4153731,2017,2013,2025,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2025-07-23,100,100,0,42,3,3,N/A,N/A,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1730,43.774618023,-79.343572185,317376.948,4848085.058
4155650,2017,1962,2024,TCHC,16,Don Valley East,51 PARKWOODS VILLAGE DR,7,81,2024-07-10,85,85,0,47,2,2,2,3,3,3,3,1,2,3,3,N/A,2,2,3,3,2,N/A,3,3,2,N/A,3,2,3,1,3,3,1,3,3,3,3,2,1,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,N1625,43.759507201,-79.320050542,319274.057,4846410.106
4154908,2017,1965,2024,PRIVATE,16,Don Valley East,57 PARKWOODS VILLAGE DR,7,87,2024-07-16,90,91,-1,44,3,3,3,3,2,2,2,2,3,3,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,3,3,3,3,2,1,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1625,43.7601500687,-79.3205133557,319236.899,4846480.491
4154904,2017,1962,2024,PRIVATE,16,Don Valley East,66 PARKWOODS VILLAGE DR,6,65,2024-07-16,93,93,0,43,3,3,3,N/A,3,2,3,3,2,2,N/A,N/A,3,3,3,2,3,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,N1625,43.7596033924,-79.3222223212,319099.419,4846419.464
